Membership Type,Last 4 of CC,Transaction Date,Charge/Refund,Fee Category,Fee Type,Charge Amount,Original Charge Date,Original Charge Amount,Refund Amount,Net,Payment Status
24 Hour Kiosk,7084,4/23/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9369,4/23/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8861,4/23/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8861,4/23/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2388,4/23/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2388,4/23/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0436,4/23/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,7567,4/23/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6149,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Pass,9525,4/24/13,Charge,Membership Fee,24 Hour Pass,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3152,4/24/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,6495,4/24/13,Charge,Usage Fee,,$6.00,,$0.00,$0.00,$6.00,Processed
Annual Membership,4450,4/24/13,Charge,Membership Fee,24 Hour Pass,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,7030,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,7030,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3172,4/24/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,9808,4/24/13,Charge,Usage Fee,,$6.00,,$0.00,$0.00,$6.00,Processed
24 Hour Kiosk,3995,4/24/13,Charge,Usage Fee,,$20.00,,$0.00,$0.00,$20.00,Processed
24 Hour Kiosk,3995,4/24/13,Charge,Usage Fee,,$20.00,,$0.00,$0.00,$20.00,Processed
24 Hour Kiosk,4065,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6042,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3728,4/24/13,Charge,Usage Fee,,$14.00,,$0.00,$0.00,$14.00,Processed
24 Hour Kiosk,3728,4/24/13,Charge,Usage Fee,,$14.00,,$0.00,$0.00,$14.00,Processed
24 Hour Kiosk,3728,4/24/13,Charge,Usage Fee,,$14.00,,$0.00,$0.00,$14.00,Processed
24 Hour Kiosk,3367,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9362,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5085,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3399,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6389,4/24/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,2714,4/24/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,6389,4/24/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,1740,4/24/13,Charge,Usage Fee,,$36.00,,$0.00,$0.00,$36.00,Processed
24 Hour Kiosk,3746,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8306,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8306,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2099,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,7543,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,7529,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9057,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0242,4/24/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,0242,4/24/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,0242,4/24/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,2420,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2420,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6485,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8252,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9297,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9730,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9730,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4974,4/24/13,Charge,Usage Fee,,$12.00,,$0.00,$0.00,$12.00,Processed
24 Hour Kiosk,6898,4/24/13,Charge,Usage Fee,,$10.00,,$0.00,$0.00,$10.00,Processed
24 Hour Kiosk,2309,4/24/13,Charge,Usage Fee,,$8.00,,$0.00,$0.00,$8.00,Processed
24 Hour Kiosk,4037,4/24/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,4037,4/24/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,7266,4/24/13,Charge,Usage Fee,,$14.00,,$0.00,$0.00,$14.00,Processed
24 Hour Kiosk,7266,4/24/13,Charge,Usage Fee,,$14.00,,$0.00,$0.00,$14.00,Processed
24 Hour Kiosk,7337,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1697,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1697,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1740,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4535,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
Monthly Membership,1457,4/24/13,Charge,Membership Fee,Monthly Membership,$15.00,,$0.00,$0.00,$15.00,Processed
24 Hour Kiosk,4535,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0389,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2857,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6187,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5642,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5642,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1681,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9992,4/24/13,Charge,Usage Fee,,$8.00,,$0.00,$0.00,$8.00,Processed
24 Hour Kiosk,3746,4/24/13,Charge,Usage Fee,,$6.00,,$0.00,$0.00,$6.00,Processed
24 Hour Kiosk,7575,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,7575,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2291,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2291,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0545,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0545,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8142,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0939,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6300,4/24/13,Charge,Usage Fee,,$6.00,,$0.00,$0.00,$6.00,Processed
24 Hour Kiosk,7416,4/24/13,Charge,Usage Fee,,$6.00,,$0.00,$0.00,$6.00,Processed
24 Hour Kiosk,5561,4/24/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,4924,4/24/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,0939,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9076,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8546,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8546,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8378,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8172,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8172,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8310,4/24/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0457,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6586,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3000,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0457,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Pass,4285,4/25/13,Charge,Membership Fee,24 Hour Pass,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4450,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0686,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3529,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4285,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0410,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2756,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9005,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9005,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6520,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
Annual Membership,0713,4/25/13,Charge,Membership Fee,Annual Membership,$65.00,,$0.00,$0.00,$65.00,Processed
24 Hour Kiosk,6479,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1726,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1740,4/25/13,Charge,Usage Fee,,$22.00,,$0.00,$0.00,$22.00,Processed
Monthly Membership,1733,4/25/13,Charge,Usage Fee,,$10.00,,$0.00,$0.00,$10.00,Processed
24 Hour Kiosk,0726,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0531,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6402,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8021,4/25/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,8021,4/25/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,1896,4/25/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,9562,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,7991,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6819,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6820,4/25/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,6820,4/25/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,6820,4/25/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,7575,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,7575,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9006,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9006,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9546,4/25/13,Charge,Usage Fee,,$8.00,,$0.00,$0.00,$8.00,Processed
24 Hour Kiosk,9654,4/25/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,9654,4/25/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,7545,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,7545,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9854,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0253,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0253,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
Annual Membership,8905,4/25/13,Charge,Membership Fee,Annual Membership,$65.00,,$0.00,$0.00,$65.00,Processed
24 Hour Kiosk,2263,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2263,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5071,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2263,4/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4013,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Pass,1393,4/26/13,Charge,Membership Fee,24 Hour Pass,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6413,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
Annual Membership,4450,4/26/13,Charge,Membership Fee,Annual Membership,$65.00,,$0.00,$0.00,$65.00,Processed
24 Hour Kiosk,3975,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3975,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0729,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1772,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5737,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8230,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
Annual Membership,8580,4/26/13,Charge,Membership Fee,Annual Membership,$65.00,,$0.00,$0.00,$65.00,Processed
24 Hour Kiosk,3184,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1740,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8282,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6503,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9292,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,7529,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,7494,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0656,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4011,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,7775,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9362,4/26/13,Charge,Usage Fee,,$10.00,,$0.00,$0.00,$10.00,Processed
24 Hour Kiosk,5085,4/26/13,Charge,Usage Fee,,$10.00,,$0.00,$0.00,$10.00,Processed
24 Hour Kiosk,0737,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0737,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Pass,2423,4/26/13,Charge,Membership Fee,24 Hour Pass,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Pass,5577,4/26/13,Charge,Membership Fee,24 Hour Pass,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8989,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4368,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8784,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4664,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2099,4/26/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,9057,4/26/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,9410,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1061,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8800,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5029,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5029,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5791,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9756,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2193,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2193,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2420,4/26/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,2420,4/26/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Pass,6623,4/26/13,Charge,Membership Fee,24 Hour Pass,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,7847,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,7847,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1458,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6103,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0501,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0501,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6474,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1181,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3224,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0062,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9730,4/26/13,Charge,Usage Fee,,$8.00,,$0.00,$0.00,$8.00,Processed
24 Hour Kiosk,9730,4/26/13,Charge,Usage Fee,,$8.00,,$0.00,$0.00,$8.00,Processed
24 Hour Pass,1790,4/26/13,Charge,Membership Fee,24 Hour Pass,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,7558,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,7558,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0176,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9336,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9327,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9761,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5670,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5420,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9731,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5697,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2959,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2959,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1740,4/26/13,Charge,Usage Fee,,$38.00,,$0.00,$0.00,$38.00,Processed
24 Hour Kiosk,4934,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4844,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1986,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8077,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,7439,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8077,4/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
